condition,environment_seed,channel_seed,drop,delay,radius,final_entropy,F1,mission_return,episode_steps,measurement_count,path_length,messages_attempted,messages_range_eligible,messages_dropped,messages_delayed,messages_delivered,packet_delivery_ratio,effective_neighbor_degree,message_age_mean,message_age_max,communication_radius,normalized_communication_load,load_unit,pending_messages_discarded_at_episode_end,event_log
drop_0p1,15008,315008,0.1,0,25.0,0.24562864253688466,0.7749008294266138,9.810167156159878,15.0,60.0,300.0,180,82,9,0,73,0.8902439024390244,1.3666666666666667,0.0,0,25.0,0.45555555555555555,MESSAGE_UNITS,0,D:\AgentData\RAC-MIPP\S3-R0\events\drop_0p1_15008.jsonl
drop_0p1,15009,315009,0.1,0,25.0,0.18455958612107065,0.7481247532570074,8.605209385976195,15.0,60.0,300.0,180,130,14,0,116,0.8923076923076924,2.1666666666666665,0.0,0,25.0,0.7222222222222222,MESSAGE_UNITS,0,D:\AgentData\RAC-MIPP\S3-R0\events\drop_0p1_15009.jsonl
drop_0p1,15010,315010,0.1,0,25.0,0.1836232568517293,0.7356061629949994,7.838943172246218,15.0,60.0,300.0,180,132,11,0,121,0.9166666666666666,2.2,0.0,0,25.0,0.7333333333333333,MESSAGE_UNITS,0,D:\AgentData\RAC-MIPP\S3-R0\events\drop_0p1_15010.jsonl
drop_0p3,15001,315001,0.3,0,25.0,0.3353776230723084,0.7075188395943113,4.923749625682831,15.0,60.0,300.0,180,114,34,0,80,0.7017543859649122,1.9,0.0,0,25.0,0.6333333333333333,MESSAGE_UNITS,0,D:\AgentData\RAC-MIPP\S3-R0\events\drop_0p3_15001.jsonl
drop_0p3,15002,315002,0.3,0,25.0,0.3679360193754046,0.7913629233182615,12.87417047098279,15.0,60.0,300.0,180,88,32,0,56,0.6363636363636364,1.4666666666666666,0.0,0,25.0,0.4888888888888889,MESSAGE_UNITS,0,D:\AgentData\RAC-MIPP\S3-R0\events\drop_0p3_15002.jsonl
drop_0p3,15003,315003,0.3,0,25.0,0.2512417967521959,0.8050436383199135,11.217937253415585,15.0,60.0,300.0,180,94,33,0,61,0.648936170212766,1.5666666666666667,0.0,0,25.0,0.5222222222222223,MESSAGE_UNITS,0,D:\AgentData\RAC-MIPP\S3-R0\events\drop_0p3_15003.jsonl
drop_0p3,15004,315004,0.3,0,25.0,0.23638762169395464,0.7156470622987623,5.800756312906742,15.0,60.0,300.0,180,90,23,0,67,0.7444444444444445,1.5,0.0,0,25.0,0.5,MESSAGE_UNITS,0,D:\AgentData\RAC-MIPP\S3-R0\events\drop_0p3_15004.jsonl
drop_0p3,15005,315005,0.3,0,25.0,0.3985459275696721,0.7426526166021964,7.789085332304239,15.0,60.0,300.0,180,90,30,0,60,0.6666666666666666,1.5,0.0,0,25.0,0.5,MESSAGE_UNITS,0,D:\AgentData\RAC-MIPP\S3-R0\events\drop_0p3_15005.jsonl
drop_0p3,15006,315006,0.3,0,25.0,0.25440932989545484,0.8277504567087645,14.05648559704423,15.0,60.0,300.0,180,86,33,0,53,0.6162790697674418,1.4333333333333333,0.0,0,25.0,0.4777777777777778,MESSAGE_UNITS,0,D:\AgentData\RAC-MIPP\S3-R0\events\drop_0p3_15006.jsonl
drop_0p3,15007,315007,0.3,0,25.0,0.2208493233401555,0.8028847294379997,10.787506449967623,15.0,60.0,300.0,180,94,26,0,68,0.723404255319149,1.5666666666666667,0.0,0,25.0,0.5222222222222223,MESSAGE_UNITS,0,D:\AgentData\RAC-MIPP\S3-R0\events\drop_0p3_15007.jsonl
drop_0p3,15008,315008,0.3,0,25.0,0.24562864253688466,0.7749008294266138,9.810167156159878,15.0,60.0,300.0,180,82,28,0,54,0.6585365853658537,1.3666666666666667,0.0,0,25.0,0.45555555555555555,MESSAGE_UNITS,0,D:\AgentData\RAC-MIPP\S3-R0\events\drop_0p3_15008.jsonl
drop_0p3,15009,315009,0.3,0,25.0,0.1950600259162415,0.7426140898790934,8.381042011082172,15.0,60.0,300.0,180,132,44,0,88,0.6666666666666666,2.2,0.0,0,25.0,0.7333333333333333,MESSAGE_UNITS,0,D:\AgentData\RAC-MIPP\S3-R0\events\drop_0p3_15009.jsonl
